#Model: 0.219183863331 0.601031497123 -0.767542290670 5.212951406400 2.139010599314 -0.141230884070 -0.215809966418 1.561356903983 -6.135311066029 -5.183160581110 -0.788942095130 8.600539650829 -1.813106464693 0.767409693706 1.772226662045 0.065893676221 -1.914458488523 4.132796292330 -0.920527434035 -0.302161452647 4.960668766481 0.985736962842 2.526451295266 -2.047222742839 4.516695663532 0.033624851517 1.000000000000 2.232131446368 0.138994601898 0.107465061797 0.270386705507 -0.203837747032 0.054232302902 -1.085741666407 0.721040181129 0.454059502051 0.070000000000 0.069734024178 0.005316160864 -0.029266369672 0.311235807926 9.505203556705 -0.006990274105 0.368459641153 0.629028303723 0.421511593441 0 369.052935209963
#Type Subtype Z1 Z2 step1 step2 SM1 SM2 smb1 smb2 R1 R2 Val Err_h Err_l Model_Val MV+ MV- Chi2 Chi2+ Chi2-
qf_uvj a 1.000000 1.500000 79 99 11.400000 11.500000 88 90 0.000000 0.000000 7.860000e-01 0.214234 0.361138 7.411226e-01 3.686257e-02 2.393410e-02 8.166720e-03 2.192259e-02 8.166720e-03
qf_uvj a 1.000000 1.500000 79 99 11.300000 11.400000 86 88 0.000000 0.000000 8.550000e-01 0.145344 0.234214 7.016747e-01 3.359376e-02 2.017687e-02 4.008137e-01 1.074357e-01 1.587968e-01
qf_uvj a 1.000000 1.500000 79 99 11.200000 11.300000 84 86 0.000000 0.000000 7.610000e-01 0.204245 0.188266 6.601156e-01 3.061123e-02 1.755540e-02 1.762986e-01 8.678224e-02 1.090643e-01
qf_uvj a 1.000000 1.500000 79 99 11.100000 11.200000 82 84 0.000000 0.000000 7.080000e-01 0.131381 0.133375 6.175073e-01 2.587620e-02 1.503110e-02 2.813367e-01 1.320653e-01 1.683041e-01
qf_uvj a 1.000000 1.500000 79 99 11.000000 11.100000 80 82 0.000000 0.000000 6.680000e-01 0.112446 0.108462 5.749878e-01 2.243521e-02 1.231715e-02 4.478494e-01 1.663481e-01 2.345290e-01
qf_uvj a 1.000000 1.500000 79 99 10.900000 11.000000 78 80 0.000000 0.000000 6.200000e-01 0.089560 0.086579 5.331980e-01 1.959947e-02 9.955820e-03 5.907422e-01 1.922359e-01 2.980296e-01
qf_uvj a 1.000000 1.500000 79 99 10.800000 10.900000 76 78 0.000000 0.000000 5.270000e-01 0.073682 0.069721 4.919230e-01 1.804833e-02 8.076155e-03 4.480222e-02 6.151785e-02 4.480222e-02
qf_uvj a 1.000000 1.500000 79 99 10.700000 10.800000 74 76 0.000000 0.000000 5.090000e-01 0.063789 0.065765 4.506188e-01 1.733944e-02 8.445572e-03 3.449720e-01 1.665035e-01 2.404441e-01
qf_uvj a 1.000000 1.500000 79 99 10.600000 10.700000 72 74 0.000000 0.000000 4.490000e-01 0.055902 0.054918 4.092647e-01 1.564311e-02 7.419377e-03 1.276822e-01 1.146263e-01 1.222200e-01
qf_uvj a 1.000000 1.500000 79 99 10.500000 10.600000 70 72 0.000000 0.000000 4.130000e-01 0.050990 0.050990 3.685469e-01 1.466789e-02 8.305804e-03 2.299830e-01 1.827663e-01 1.931557e-01
qf_uvj a 1.000000 1.500000 79 99 10.400000 10.500000 68 70 0.000000 0.000000 3.600000e-01 0.050990 0.050990 3.293571e-01 1.323173e-02 8.952674e-03 4.356602e-02 1.041213e-01 4.356602e-02
qf_uvj a 1.000000 1.500000 79 99 10.350000 10.450000 67 69 0.000000 0.000000 3.110000e-01 0.050990 0.050990 3.105257e-01 1.134098e-02 1.009083e-02 0.000000e+00 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.250000 10.350000 65 67 0.000000 0.000000 2.870000e-01 0.050990 0.050990 2.745192e-01 9.795883e-03 1.259157e-02 0.000000e+00 9.895732e-03 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.150000 10.250000 63 65 0.000000 0.000000 2.200000e-01 0.050990 0.050990 2.408737e-01 9.416349e-03 1.454598e-02 2.935943e-04 4.043142e-02 2.935943e-04
qf_uvj a 1.000000 1.500000 79 99 10.050000 10.150000 61 63 0.000000 0.000000 1.840000e-01 0.050990 0.050990 2.100210e-01 1.112697e-02 1.556896e-02 1.394333e-02 9.915416e-02 1.394333e-02
